timestamp,high,low,bid,ask,last,open,vwap,volume
1525559075,9948.98000000,9670.68000000,9775.90,9783.70,9783.70,9689.0,9822.72,7439.58474716
1525559085,9948.98000000,9670.68000000,9776.40,9783.70,9783.70,9689.0,9822.72,7439.59031785
1525559096,9948.98000000,9670.68000000,9774.57,9783.70,9783.70,9689.0,9822.73,7439.42214689
1525559105,9948.98000000,9670.68000000,9775.30,9783.70,9783.70,9689.0,9822.74,7438.43103537
1525559118,9948.98000000,9670.68000000,9775.40,9783.70,9783.70,9689.0,9822.77,7436.84341679
1525559128,9948.98000000,9670.68000000,9775.61,9782.89,9782.92,9689.0,9822.85,7431.26139117
1525559140,9948.98000000,9670.68000000,9771.00,9775.99,9776.00,9689.0,9822.85,7431.19262048
1525559147,9948.98000000,9670.68000000,9770.90,9775.99,9770.90,9689.0,9822.85,7431.24199989
1525559156,9948.98000000,9670.68000000,9776.91,9782.99,9776.91,9689.0,9822.83,7434.49270205
1525559171,9948.98000000,9670.68000000,9774.05,9779.49,9797.12,9689.0,9822.82,7438.19252248
1525559182,9948.98000000,9670.68000000,9774.66,9779.46,9797.12,9689.0,9822.82,7438.19041487
1525559195,9948.98000000,9670.68000000,9774.40,9779.46,9779.46,9689.0,9822.84,7436.66638941
1525559206,9948.98000000,9670.68000000,9775.31,9779.46,9775.31,9689.0,9822.84,7437.16994138
1525559214,9948.98000000,9670.68000000,9775.32,9779.46,9779.46,9689.0,9822.84,7437.16200717
1525559227,9948.98000000,9670.68000000,9774.15,9779.99,9774.05,9689.0,9822.85,7436.83187249
1525559237,9948.98000000,9670.68000000,9783.51,9796.99,9796.98,9689.0,9822.79,7449.94268299
1525559249,9948.98000000,9670.68000000,9783.61,9796.99,9783.60,9689.0,9822.79,7450.09270948
1525559259,9948.98000000,9670.68000000,9796.98,9796.99,9796.86,9689.0,9822.79,7450.22423521
1525559271,9948.98000000,9670.68000000,9796.98,9796.99,9796.98,9689.0,9822.98,7438.73405017
1525559281,9948.98000000,9670.68000000,9796.98,9796.99,9796.99,9689.0,9822.98,7438.32796498
1525559293,9948.98000000,9670.68000000,9796.98,9796.99,9796.99,9689.0,9822.98,7438.31310540
1525559302,9948.98000000,9670.68000000,9796.98,9796.99,9796.99,9689.0,9822.98,7438.31310540
1525559315,9948.98000000,9670.68000000,9796.98,9796.99,9796.99,9689.0,9822.98,7438.31310540
1525559326,9948.98000000,9670.68000000,9796.99,9798.99,9799.00,9689.0,9822.98,7438.32032326
1525559336,9948.98000000,9670.68000000,9796.99,9798.99,9799.00,9689.0,9822.99,7438.19349629
1525559349,9948.98000000,9670.68000000,9797.46,9799.99,9800.00,9689.0,9823.17,7427.32679198
1525559357,9948.98000000,9670.68000000,9797.46,9799.99,9800.00,9689.0,9823.17,7429.59895276
1525559369,9948.98000000,9670.68000000,9800.00,9800.91,9800.00,9689.0,9823.18,7429.02037075
1525559378,9948.98000000,9670.68000000,9800.19,9800.91,9800.00,9689.0,9823.2,7427.93739067
1525559392,9948.98000000,9670.68000000,9800.19,9804.36,9800.19,9689.0,9823.2,7428.35065979
1525559403,9948.98000000,9670.68000000,9805.59,9808.20,9805.49,9689.0,9823.17,7441.38044976
1525559412,9948.98000000,9670.68000000,9801.40,9808.20,9801.40,9689.0,9823.17,7441.61849233
1525559424,9948.98000000,9670.68000000,9808.20,9808.99,9808.20,9689.0,9823.17,7441.70790249
1525559434,9948.98000000,9670.68000000,9808.20,9808.94,9808.20,9689.0,9823.17,7441.97232898
1525559445,9948.98000000,9670.68000000,9808.20,9811.05,9808.20,9689.0,9823.17,7442.10156422
1525559457,9948.98000000,9670.68000000,9808.21,9811.42,9811.05,9689.0,9823.17,7442.62986650
1525559472,9948.98000000,9670.68000000,9808.21,9809.99,9811.42,9689.0,9823.17,7442.64428908
1525559485,9948.98000000,9670.68000000,9808.21,9809.99,9811.42,9689.0,9823.17,7442.51646263
1525559493,9948.98000000,9670.68000000,9808.20,9809.99,9808.20,9689.0,9823.17,7442.96314188
1525559504,9948.98000000,9670.68000000,9811.41,9811.42,9811.42,9689.0,9823.17,7443.17036928
1525559517,9948.98000000,9670.68000000,9809.00,9810.66,9809.00,9689.0,9823.17,7443.75952779
1525559527,9948.98000000,9670.68000000,9809.00,9810.65,9809.00,9689.0,9823.17,7443.75693824
1525559536,9948.98000000,9670.68000000,9809.00,9810.65,9810.65,9689.0,9823.17,7443.75804962
1525559549,9948.98000000,9670.68000000,9809.00,9810.99,9809.00,9689.0,9823.17,7443.78977654
1525559559,9948.98000000,9670.68000000,9809.00,9810.99,9809.00,9689.0,9823.18,7443.65718995
1525559570,9948.98000000,9670.68000000,9810.33,9810.99,9810.99,9689.0,9823.18,7443.54336915
1525559580,9948.98000000,9670.68000000,9809.00,9810.99,9810.99,9689.0,9823.18,7443.47637017
1525559594,9948.98000000,9670.68000000,9812.87,9812.95,9812.95,9689.0,9823.18,7443.31883322
1525559602,9948.98000000,9670.68000000,9812.94,9812.99,9812.95,9689.0,9823.19,7443.31454946
1525559615,9948.98000000,9670.68000000,9813.28,9814.85,9814.85,9689.0,9823.22,7441.62913353
1525559623,9948.98000000,9670.68000000,9815.90,9815.99,9815.80,9689.0,9823.22,7444.36397578
1525559635,9948.98000000,9670.68000000,9813.29,9816.52,9822.00,9689.0,9823.22,7445.84951021
1525559645,9948.98000000,9670.68000000,9813.29,9816.40,9816.40,9689.0,9823.22,7445.94903152
1525559658,9948.98000000,9670.68000000,9816.53,9817.97,9817.97,9689.0,9823.25,7446.10618359
1525559671,9948.98000000,9670.68000000,9817.96,9817.97,9817.97,9689.0,9823.27,7446.23389469
1525559679,9948.98000000,9670.68000000,9817.97,9824.68,9824.68,9689.0,9823.28,7446.14577755
1525559693,9948.98000000,9670.68000000,9816.53,9820.99,9814.90,9689.0,9824.08,7400.44895082
1525559701,9948.98000000,9670.68000000,9814.70,9817.97,9814.90,9689.0,9825.02,7346.98639487
1525559714,9948.98000000,9670.68000000,9812.87,9817.97,9817.97,9689.0,9825.09,7343.05022871
1525559722,9948.98000000,9670.68000000,9817.98,9820.99,9817.97,9689.0,9825.27,7332.87970937
1525559735,9948.98000000,9670.68000000,9817.98,9828.00,9828.00,9689.0,9825.27,7332.93871994
