	Timeframe	Sentiment	NumberOfTweets	AverageFavourites
0	2018-05-10 01:09:43	0.5516315558832006	1235	9407.477732793523
1	2018-05-10 02:00:00	0.553746645664237	1616	8066.688118811881
2	2018-05-10 03:00:00	0.5457311410941758	1803	7719.838602329451
3	2018-05-10 04:00:00	0.5485583075931381	1776	9708.346846846847
4	2018-05-10 05:00:00	0.5469957271170675	1806	7766.023255813953
5	2018-05-10 06:00:00	0.5480715636067097	1985	7802.685138539043
6	2018-05-10 07:00:00	0.5462544293965353	1779	7252.556492411467
