	Timeframe	Sentiment	NumberOfTweets	AverageFavourites
0	14.0	0.5536647552117471	568.0	7882.894366197183
1	15.0	0.5595568802194699	2626.0	8308.508758568165
2	16.0	0.5677331087462497	2554.0	8378.013312451058
3	17.0	0.5612745281044187	2196.0	9638.667577413478
4	18.0	0.585629442573887	18.0	431.1666666666667
