	Timeframe	Sentiment	NumberOfTweets	AverageFavourites
0	2018-05-09 03:06:59	0.5455578544772004	1516	10482.110158311345
1	2018-05-09 04:00:00	0.5511593080335667	1750	8619.16057142857
2	2018-05-09 05:00:00	0.5529465165273093	1767	9300.829654782117
3	2018-05-09 06:00:00	0.5599883584465323	1845	7558.974525745258
4	2018-05-09 07:00:00	0.5601452073123913	2285	8012.949671772429
5	2018-05-09 08:00:00	0.5571985536901864	2015	7415.986600496278
6	2018-05-09 09:00:00	0.5377546678689088	822	9557.581508515816
