	Timeframe	Sentiment	NumberOfTweets	AverageFavourites
0	2018-05-09 00:00:00	0.5461393219645545	1707	12914.058582308144
1	2018-05-09 01:00:00	0.5562485829648794	1632	10331.652573529413
2	2018-05-09 02:00:00	0.5505965328207094	1572	9638.326972010178
3	2018-05-09 03:00:00	0.5610276533169446	307	13584.71661237785
4	2018-05-08 20:04:09	0.5497267325949131	1723	10348.208357515961
5	2018-05-08 21:00:00	0.548922628153018	1839	10411.753126699294
6	2018-05-08 22:00:00	0.5475298374093555	1743	10440.69305794607
7	2018-05-08 23:00:00	0.546219374875857	1477	11134.09749492214
