	Timeframe	Sentiment	NumberOfTweets	AverageFavourites
0	2018-05-10 00:00:00	0.556307412889214	1738	17523.023014959723
1	2018-05-10 01:00:00	0.5565737195159952	301	8125.086378737542
2	2018-05-09 18:44:35	0.542550431490353	571	9676.38003502627
3	2018-05-09 19:00:00	0.5503997172753572	2061	10378.552159146046
4	2018-05-09 20:00:00	0.546489310646061	2088	11795.210727969348
5	2018-05-09 21:00:00	0.5596099676913041	1906	12067.413955928647
6	2018-05-09 22:00:00	0.5436050916309966	1771	9502.797289666854
7	2018-05-09 23:00:00	0.551271205712742	1564	12512.036445012787
